name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood
Petrichor,Petrichor,Cecelya,22KKy6ftT0i4nyGNCbwc1B,2019-01-29,54,118321,0.319,0.937,0.122,0.905,0.1669999999999999,0.214,-16.69,0.0373,70.263,4,4,Calm
Old Rain on a New Day,Celestial Siren,Cora Zea,5P8BZ67Vw2CUwAYi12yvYj,2020-03-13,54,225500,0.286,0.971,0.14,0.892,0.134,0.154,-16.496,0.0346,119.191,7,4,Calm
Path to Serenity,Path to Serenity,Arya Shae,6FI69Qkt6C2yBTVLC8zq34,2020-03-28,54,214277,0.134,0.961,0.0601,0.8690000000000001,0.109,0.0388,-19.866,0.0352,73.855,7,1,Calm
Limitless,Limitless,Lucas Delphy,5QGNwI8U3o9mQg7RR3yOPj,2019-10-31,54,165685,0.238,0.404,0.191,0.888,0.107,0.0365,-20.242,0.0351,140.282,7,4,Calm
The Disappearance of the Unmoved Mover,The Disappearance of the Unmoved Mover,So Vea,62uEGHla1SOT2rhVAyMn6K,2020-03-06,54,269296,0.627,0.879,0.4270000000000001,0.878,0.0977,0.132,-11.498,0.0283,112.043,11,4,Calm
Eidolon,Eidolon,Monocle Twins,6KuzTwyczjBp1C4f60Y5ID,2020-01-24,54,257668,0.5529999999999999,0.862,0.24,0.946,0.0932,0.1639999999999999,-19.522,0.0304,128.986,10,3,Calm
Someday,Chapter I,City of the Sun,5zOetBDO9NONS4KnIBXtnx,2019-11-15,53,288040,0.5720000000000001,0.265,0.5710000000000001,0.917,0.109,0.115,-10.067,0.0331,96.986,8,4,Calm
Woodland Heart,Woodland Heart,Ghost Of Summer,1z7GhYG0KqAmebdLfuoYho,2019-08-30,53,160105,0.516,0.84,0.177,0.8170000000000001,0.135,0.132,-20.473,0.0312,94.994,3,3,Calm
Takeoff,Takeoff,Silo Silo,4iKSrwTBu0vLSqmZUXSGXr,2020-05-01,53,194666,0.44,0.625,0.32,0.8859999999999999,0.0823,0.0694,-12.011,0.0323,180.03599999999997,4,4,Calm
Glaciers,Bloom,Lights & Motion,2No1A7ZuMaBGxz45jmA9Gw,2018-02-02,53,176373,0.0789,0.733,0.16,0.7859999999999999,0.0943,0.0409,-18.144,0.0362,56.449,7,4,Calm
Atlavík,Varða,Hugar,6WdO6Ds95sLALCqCOfbDQh,2019-08-23,53,155733,0.535,0.867,0.147,0.797,0.0825,0.238,-25.141,0.0382,126.823,2,4,Calm
Adrift,Adrift,Cooper Sams,3TNNGjgOQ7O8vwAlvlD9Fg,2018-03-21,53,158117,0.382,0.4970000000000001,0.333,0.918,0.106,0.0486,-15.573,0.0367,84.97399999999998,7,4,Calm
Shifts Of Light,Still Waters,Avery Young,0KN1zd8K3MTPQyix892mCf,2018-10-30,53,261613,0.455,0.931,0.216,0.921,0.0839,0.179,-20.107,0.0363,171.93599999999995,3,4,Calm
Trastevere,Universo en Miniatura Vol. 1,Sebastián Escofet,3rRL23xxAPJ75K3wGBKZIO,2019-07-05,52,167613,0.42,0.8859999999999999,0.272,0.8340000000000001,0.0841,0.38,-14.843,0.0423,180.03099999999995,4,3,Calm
Wild Trails,Wild Trails,Epi-Soothe,2urxHALnoeVxG82o57q0ny,2019-08-27,52,218501,0.213,0.742,0.233,0.8809999999999999,0.149,0.0378,-14.347,0.0289,94.94,4,3,Calm
Waiting like the Storm,Nocturne in Green,Rand Aldo,1CIIzFfELXMwLyKaGdpTul,2019-12-06,52,257625,0.162,0.946,0.0564,0.889,0.101,0.0361,-20.696,0.0341,60.01,5,4,Calm
Open Skies,Open Skies,Lost Horse Mine,5bATh5zpKb6uauocsl0XRM,2020-04-28,52,154863,0.56,0.00104,0.5589999999999999,0.812,0.123,0.0869,-7.807,0.0274,133.04399999999998,0,4,Calm
When You Left,When You Left,Rouge Haven,1uu52K2fxY7Hl4LQ8AtTyY,2020-04-21,52,177224,0.56,0.984,0.0853,0.918,0.108,0.113,-15.918,0.0324,96.646,5,4,Calm
Found,Found,Martin Gauffin,2T2EemW8X3GlKvJe1gxpBC,2019-08-23,52,159049,0.517,0.901,0.397,0.867,0.11,0.195,-14.281,0.0289,100.005,0,4,Calm
Momentum,Momentum,Monocle Twins,7Ln0DgKSrDG0ALbtNwGeml,2020-04-08,52,178741,0.636,0.8909999999999999,0.248,0.922,0.106,0.138,-17.313,0.0309,117.006,4,3,Calm
Bloom,Bloom,Hilder Sky,5DP6ow4t5Mmfge0fMRhSJD,2019-05-30,52,121069,0.249,0.945,0.129,0.8390000000000001,0.17,0.253,-18.167,0.0324,70.59,4,5,Calm
Adjustments,Adjustments,Josie Mehlin,6w0vhPaZBYjhrDobs3QE14,2020-01-17,52,182000,0.532,0.974,0.541,0.8640000000000001,0.228,0.329,-11.932,0.0283,136.063,0,4,Calm
De Fléche,De Fléche,Les Manger Tous,5vymVJ2WUlLnMeQqrgwQx8,2019-09-30,52,233062,0.435,0.6679999999999999,0.333,0.8340000000000001,0.084,0.074,-15.885,0.0308,90.902,8,4,Calm
Calm Wilderness,Calm Wilderness,Night Sounds,44Co96UhNfnq258r2VybLE,2019-08-22,52,231723,0.186,0.8859999999999999,0.271,0.961,0.141,0.0684,-17.149,0.0449,115.896,7,4,Calm
Saving Daylight,Saving Daylight,Harvest Silence,0rDXZpaDpGMbT8ON1DxEtT,2020-05-01,52,206820,0.526,0.456,0.385,0.922,0.0935,0.212,-13.755,0.0296,120.008,0,4,Calm
Clear Skies,Clear Skies,Dhyana Thomas,7bKMZYXVYzGMvnHiRDCmjy,2019-04-26,51,162085,0.421,0.94,0.136,0.89,0.113,0.0505,-23.521,0.0305,110.036,11,4,Calm
In This Moment,In This Moment,Lucas Delphy,7FORBAxm1qwuwbYo7Rtz42,2019-05-27,51,158666,0.479,0.7709999999999999,0.221,0.856,0.101,0.089,-19.689,0.0325,115.965,6,4,Calm
Coming Home,Coming Home,Zoe Connelly,30ACOtgBj1PqZs1erzFZkU,2019-12-11,51,172818,0.198,0.8540000000000001,0.139,0.856,0.0773,0.106,-18.72,0.031,82.405,5,4,Calm
Light Year,Light Year,Evan Michael Brown,1C2JiKNMjv8FaZlrgwObBJ,2019-07-28,51,234000,0.301,0.99,0.189,0.893,0.106,0.0379,-16.072,0.0351,139.894,9,4,Calm
I Don't Trust That Bird of Prey,Requiescence,Random Forest,33gVbwdqw7aRX0Y2zM7qm3,2019-10-04,51,210500,0.52,0.605,0.305,0.899,0.16,0.0389,-14.38,0.0322,120.109,7,4,Calm
Schloss,Schloss,Elmau Dunkel,07EmFV0AOKNsbtNonzmMJj,2019-05-24,51,222093,0.438,0.968,0.073,0.755,0.0935,0.0668,-21.94400000000001,0.0411,79.973,1,4,Calm
Crystal Shores,Crystal Shores,Dean Valio,0gUAGl4nHShy1dzHikQKKU,2019-05-24,51,170958,0.482,0.958,0.0257,0.923,0.104,0.144,-26.303,0.0323,109.98,9,4,Calm
Understudy,Understudy,Josie Mehlin,0Y41ZfnVaNRQp9dQiagwbC,2019-09-14,51,163875,0.494,0.983,0.263,0.92,0.0746,0.105,-16.817999999999998,0.0325,159.875,0,4,Calm
Follow me,Follow me,Andre Ehmann,7d44sL4znFm5HZ6ltUVqbI,2019-07-19,51,204624,0.475,0.995,0.109,0.948,0.127,0.405,-29.839,0.0303,99.008,2,4,Calm
Focus,Focus,Light of Sun,3DZ7DFolE5U2xEGIzFjeGo,2019-06-03,51,190526,0.273,0.238,0.161,0.481,0.133,0.0503,-17.727,0.053,113.89,4,4,Calm
Kaolnite,Kaolnite,Burgundy Skies,4fItBSHKBcgKWixN1Idie5,2019-03-15,50,180689,0.247,0.622,0.231,0.87,0.0878,0.0485,-19.639,0.0328,174.014,1,4,Calm
Bayybe 07,Bayybe,Bilo 503,08qO8i2K0Hxl0h8PIncyuH,2017-11-17,50,114195,0.44,0.8270000000000001,0.384,0.934,0.156,0.0912,-12.331,0.0453,127.938,7,4,Calm
Stormy Weather,Stormy Weather,Lost Horse Mine,7oXWUVH2t0UR11AvhhY8GQ,2019-08-30,50,150169,0.444,0.00308,0.382,0.816,0.0915,0.197,-9.324,0.0397,123.59,2,3,Calm
Lunar Eclipse,Lunar Eclipse,Marc Torch,0n2X57zaddr0ODIxUb64Sx,2020-05-22,50,156473,0.632,0.224,0.469,0.8540000000000001,0.0902,0.316,-10.513,0.0307,128.0,11,4,Calm
Malibu,Malibu,Matthew Harvey,3RlwtjeKhemCfiPvwMFozS,2019-08-14,50,150405,0.435,0.977,0.154,0.85,0.0728,0.0799,-21.451,0.0367,148.1,6,4,Calm
Dew Drops,Vortex,Pieter de Graaf,0NnFglDnuZH6qKuvhZpB0r,2019-10-11,50,335636,0.27,0.939,0.0384,0.936,0.1,0.0708,-24.513,0.0361,59.81,11,4,Calm
Water Colors,Water Colors,Star Slide,7rpGOF9MwCP2Oaz9yDO452,2019-09-18,50,182079,0.465,0.633,0.12,0.937,0.085,0.0659,-19.328,0.0386,72.021,7,4,Calm
Hypnagogia Well,Hypnagogia Well,Monocle Twins,2jpL7mFOMzRnbaSj790BfQ,2019-10-17,50,222000,0.545,0.7709999999999999,0.253,0.922,0.108,0.0529,-17.953,0.033,115.848,2,4,Calm
Placidity,Placidity,Estado De Calma,1XtkmIXg2o5SqOrNI8Szvk,2019-08-19,50,165268,0.261,0.474,0.25,0.893,0.0882,0.0827,-18.526,0.0339,153.045,7,4,Calm
Essential Attitudes,Honey,Peals,0T3UHut7JmCi5jcgYiMawm,2016-09-16,50,217987,0.444,0.449,0.4970000000000001,0.722,0.081,0.25,-12.601,0.0383,99.093,5,4,Calm
The Five Times I Loved You,Pyramid Train,Cora Zea,0W4RUo3m0jL0wHADS0PLme,2020-05-15,50,205695,0.41,0.988,0.0845,0.93,0.109,0.0795,-21.814,0.0327,92.033,4,4,Calm
Retrospectacular,Retrospectacular,Domaine Blanc,58Z8R4KZPbfTc6KVYZLwTb,2020-06-01,50,200000,0.368,0.81,0.293,0.8640000000000001,0.11,0.197,-16.379,0.0346,119.977,9,4,Calm
Water Lillies,Water Lillies,A Teardrop In The Lake,1sVIrkPZob1Ul6aIqy8n8z,2020-03-27,49,228000,0.234,0.848,0.226,0.942,0.111,0.0388,-15.991,0.0368,139.921,0,5,Calm
Morning Shimmer,Morning Shimmer,Vochey,24PDuLZfLOKtAgh4axr36e,2020-05-13,49,218880,0.449,0.58,0.163,0.908,0.114,0.0501,-16.409000000000002,0.0361,125.088,11,4,Calm
Los Feliz,Los Feliz,Search For Atlantis,0efOqjQkOgWPEZTzAZSB6j,2019-05-27,49,166927,0.575,0.197,0.373,0.898,0.0753,0.123,-11.642,0.0279,74.975,11,4,Calm
Presence,Presence,Van Stiles,02QoKc20zzH9A8mf25NfPq,2019-09-20,49,125500,0.616,0.966,0.292,0.927,0.0955,0.0633,-16.837,0.0423,127.008,2,1,Calm
La Luz,Chapter I,City of the Sun,6iQ6AKHlGjQTrpZIqfOtyK,2019-11-15,49,303120,0.5589999999999999,0.0463,0.441,0.763,0.115,0.389,-13.862,0.0398,94.014,7,4,Calm
Sintra,Reflections,Made Of Gold,0b6iQfSLnYGz5VCzwndLz9,2020-06-09,49,201951,0.395,0.984,0.147,0.909,0.0724,0.1669999999999999,-19.174,0.051,164.176,2,4,Calm
Montana,Montana,Le Verne,1EyctTkkGJVS3UYTuy8YZM,2019-05-13,49,133645,0.435,0.913,0.0595,0.882,0.104,0.0898,-17.456,0.0435,115.929,2,4,Calm
Bortom Träden,I Blomstertid,Erik Reno,4CFlaEtdgeu4mFmnUApAyl,2020-06-07,48,260564,0.446,0.8009999999999999,0.0586,0.85,0.0876,0.111,-26.416,0.0416,124.019,8,4,Calm
mellow,sleep escape,cloudcrush,1yJXNOEP2bq1N1691n37oS,2020-05-20,48,144434,0.609,0.985,0.157,0.792,0.112,0.0698,-15.792,0.0322,111.966,0,4,Calm
North Captiva,North Captiva,Lundegard,32dZxkZtsF5Vt3PrJQuV2i,2020-06-12,48,194495,0.479,0.918,0.346,0.929,0.111,0.23,-17.916,0.0306,143.965,9,4,Calm
Auburn Sky,Auburn Sky,Toledo Rains,42BtxDRqFTbE6Jb6rd9QOZ,2020-03-10,48,162829,0.265,0.906,0.035,0.89,0.0932,0.0651,-26.502,0.0359,132.972,4,4,Calm
Willet,Swan,Dust Follows,6UesrqZXshkMjY07kVnlkU,2020-03-27,48,179610,0.425,0.967,0.168,0.818,0.16,0.0376,-14.064,0.0322,90.076,0,4,Calm
Tuesday,Tuesday,Annelie,2GuchYit1FmdtXTxl6SbUE,2020-04-03,47,191293,0.3229999999999999,0.99,0.0214,0.902,0.0891,0.0703,-30.328000000000007,0.0384,104.033,4,4,Calm
Silver Lining,Silver Lining,Pieter de Graaf,4w7vMUyVony198G1c79PSq,2020-04-17,46,225839,0.317,0.986,0.106,0.899,0.111,0.108,-20.574,0.0302,78.66,1,4,Calm
Frozen,Frozen,Ron Adelaar,4nTeeVQnNghbWWo6k7oPrH,2020-06-05,45,166000,0.352,0.986,0.0246,0.928,0.107,0.174,-27.226,0.0419,78.809,9,4,Calm
Out of the Deep,Out Of The Deep,Olivia Belli,6HrPFcVFz9wTBqqIrpJ8iB,2020-03-13,45,193207,0.2,0.992,0.0212,0.903,0.0929,0.0631,-32.285,0.0499,74.852,0,1,Calm
Tegel,Tegel,Lambert,5Vh9sUjTiivWtvKmif40wy,2020-05-01,42,151764,0.233,0.993,0.0997,0.937,0.105,0.123,-25.616,0.0456,84.309,1,4,Calm
Klangfall - Piano Version,Klangfall (Piano Version),Joep Beving,4pWowM3xMkRYgHsIJDf61f,2020-01-17,42,353007,0.394,0.993,0.0807,0.944,0.0964,0.0394,-25.987,0.0318,124.904,0,4,Calm
Images,Images,DeLange,4sqIHHGPprOZNdW5zMx36p,2020-06-05,42,163666,0.387,0.993,0.00579,0.929,0.136,0.1369999999999999,-21.823,0.0439,111.991,7,4,Calm
æfre,æfre,praam,2irbT1BSYaIEF44PlyKaoM,2020-07-17,41,186331,0.377,0.994,0.0156,0.8809999999999999,0.0991,0.0804,-28.435,0.0397,140.179,0,4,Calm
Crossing,Crossing,The Tides,08Q4GyxnB8ak1ZwHnjwova,2020-03-19,40,153103,0.542,0.935,0.189,0.91,0.0932,0.0755,-16.57,0.0398,116.0,0,4,Calm
Feels Like Flying,Feels Like Flying,Elementaries,3mMd2MGvEIDAfMfvcb9wsC,2020-06-15,40,198077,0.416,0.882,0.11,0.873,0.116,0.347,-13.776,0.0423,120.024,11,4,Calm
Open Fields,Open Fields,Faelt,24CJS73HBvYtVguUZBnyAn,2020-06-30,39,183181,0.491,0.97,0.197,0.916,0.214,0.216,-19.261,0.0298,132.106,4,4,Calm
Time Travel,Rooftops,AMBIE,2ENH05Q7PkilEF6WujXNjG,2020-06-22,39,160788,0.502,0.965,0.289,0.913,0.153,0.156,-17.378,0.0307,137.92600000000002,8,4,Calm
Tomorrow,Tomorrow,Annelie,6TcYEIp0uV6lxkmt4FCqf5,2020-07-03,39,208520,0.325,0.964,0.0809,0.8390000000000001,0.118,0.0604,-24.493,0.0527,178.30700000000004,5,4,Calm
Flowing,Flowing,Lucas Delphy,06G5MnuMA3cLbNwjFs8zIS,2020-05-20,39,131116,0.2,0.8959999999999999,0.138,0.929,0.207,0.138,-20.417,0.0301,71.631,0,4,Calm
Used to Be,Used to Be,Jurrivh,0p44zFo2S1c50vmx0B7mPF,2020-06-20,38,265641,0.201,0.989,0.0394,0.8390000000000001,0.0881,0.0754,-21.798,0.0334,73.742,10,4,Calm
Anaviosi,Anaviosi,Alexi Musnitsky,4OWZLr2sLv7ueKPHV7JRNP,2020-07-09,38,174244,0.391,0.995,0.0121,0.946,0.0959,0.118,-24.588,0.0852,68.128,1,4,Calm
Suhpratti,Hum,Parazal,4A6C6K8c8IukPda2f0rI8J,2020-07-24,38,186542,0.564,0.974,0.0515,0.765,0.114,0.214,-15.118,0.0338,93.961,11,4,Calm
Night Surrender,Night Surrender,DeLange,0kox8HaEK0EfeWcNVTOKTy,2020-07-17,38,193653,0.211,0.993,0.00977,0.8909999999999999,0.0996,0.13,-25.787,0.0396,175.39700000000005,1,4,Calm
Tiptoeing,Tiptoeing,Jacco Wynia,28nLvoHu6NbkHNPmoxR8uD,2020-03-20,37,120536,0.467,0.986,0.1369999999999999,0.928,0.101,0.0687,-23.087,0.043,118.715,0,4,Calm
The Snail’s Teachings II: The Wonders of,In Between (B-Side),Steven Vrancken,2plPRo1J2A2erccAh1eJMB,2020-06-05,37,198250,0.334,0.944,0.00961,0.901,0.105,0.0916,-27.24,0.0416,68.153,5,3,Calm
If You Believe,Unification,Yonder Dale,0QurRfrHz1RGbdPpTx7lLV,2020-05-22,37,183428,0.575,0.937,0.202,0.441,0.103,0.142,-18.544,0.0444,139.94299999999998,8,4,Calm
Fields After Rain,Fields After Rain,Martèn LeGrand,3OjwAIOhan5AIGS2p6fJrt,2020-06-05,37,176000,0.474,0.973,0.161,0.907,0.113,0.357,-20.952,0.043,82.89200000000002,5,3,Calm
Rebuscano,Rebuscano,Olivia Belli,55VX26X342cWBM7akigws7,2020-06-26,37,173319,0.416,0.99,0.0322,0.929,0.101,0.0614,-29.145,0.0451,120.321,2,4,Calm
Colgando,Siesta,Barulinho,2dVvMXDWBY0U7VjCjOjVH9,2020-07-31,36,268800,0.5670000000000001,0.948,0.39,0.966,0.0802,0.133,-13.701,0.0301,99.997,0,4,Calm
the theme song,notion,Teodor Wolgers,3n2QaRyg5nTg5Cwwq5mw3Q,2020-04-24,36,159840,0.604,0.986,0.03,0.952,0.105,0.15,-27.007,0.0386,117.781,0,4,Calm
October Rain,Recollections Vol. 4,Various Artists,2jdeYpaoWR0VMIyKrgQMQE,2020-03-27,36,177077,0.187,0.992,0.014,0.923,0.0925,0.144,-29.31,0.0418,69.012,9,4,Calm
Curious Morning,Curious Morning,Michael Orvind,5lZyYNi8OfFWKiX1p9zDQP,2020-07-14,36,182222,0.391,0.969,0.231,0.954,0.116,0.0882,-17.0,0.0363,107.981,3,4,Calm
Cleansing,Cleansing,Jacco Wynia,6u1ymcw9MTK9mPGy8XdvEb,2020-05-29,36,304217,0.18,0.956,0.0754,0.926,0.11,0.0366,-26.645,0.0346,71.675,9,4,Calm
windcatcher,windcatcher,Leo Nocta,59VApBbrS2IADQk4ml5mdo,2020-06-19,36,123066,0.402,0.961,0.236,0.919,0.0921,0.146,-20.615,0.0603,129.736,0,3,Calm
While the Rest of the World Sleeps,While the Rest of the World Sleeps,Josh Kramer,4Hi0t9QQODb9k3aSM8SFb6,2020-01-31,35,231841,0.423,0.988,0.0442,0.947,0.108,0.182,-21.088,0.0378,73.407,11,4,Calm
Pierre,Virgule,Hicham Chahidi,1qlVrqeX158nz91Z72lzaa,2018,35,182000,0.356,0.989,0.0499,0.943,0.135,0.153,-24.949,0.0407,67.11,11,4,Calm
the frost,sentience,praam,7l4b5JYnl1WwUfvJgKmUwr,2020-01-24,35,254440,0.259,0.956,0.259,0.942,0.0923,0.0403,-18.89,0.0594,123.693,3,4,Calm
You Are Safe With Me,delta/alpha,Jef Martens,4t2XUVB63KvQWeAlAaaqAz,2020-05-01,35,86125,0.392,0.99,0.039,0.949,0.1,0.389,-27.643,0.0312,99.731,9,4,Calm
Kite,Kite,YuMe,6a8U8DihiuewRpRQ2OOCVU,2020-02-07,35,110714,0.534,0.973,0.019,0.8959999999999999,0.108,0.157,-26.071,0.0413,115.917,7,4,Calm
Watching Clouds Disappear,Watching Clouds Disappear,Florejan,18HZyQSQdmtxv5i9YSHJTw,2020-05-15,35,142861,0.495,0.99,0.0191,0.902,0.113,0.243,-26.317,0.0362,112.814,5,4,Calm
When The World Stood Still,When The World Stood Still,Florejan Verschueren,0w9rKPt8242huJZKFA1zGX,2020-07-10,35,217339,0.461,0.989,0.0167,0.848,0.11,0.259,-22.104,0.0509,73.77,9,3,Calm
Revitalize,Unification,Yonder Dale,1sPC2IR2UwzYUrItFRE1H3,2020-05-22,34,198545,0.597,0.95,0.327,0.96,0.0966,0.0399,-15.743,0.0342,109.99,9,4,Calm
Stay Home,Stay Home,Golden Sleep,5NRWr6U9kBI3NP7Hr7fyy8,2020-04-24,34,176000,0.234,0.992,0.174,0.942,0.148,0.362,-21.752,0.0376,66.301,9,4,Calm
Balloon,Balloon,YuMe,6a9DN96EWRc56Lwl5YD7KL,2020-05-01,34,143212,0.408,0.987,0.00518,0.929,0.12,0.0381,-29.142,0.0355,72.291,5,3,Calm
Courage,Courage,Ian Wong,0gj8zftpww3PXx8xea7Ygn,2020-02-28,34,162083,0.635,0.994,0.0302,0.952,0.107,0.237,-26.234,0.0401,83.22200000000002,1,1,Calm
Raven's Feather - Piano Solo,Raven's Feather (Piano Solo),Nina June,7sBlA4bK7gpf2H42K6Y0H3,2019-12-20,34,256259,0.594,0.988,0.0624,0.928,0.109,0.0738,-19.409,0.0472,123.999,10,4,Calm
Beekweide,Beekweide,Job Roggeveen,199PI6mx1IFrDk8ZMtNTyX,2020-07-10,34,219215,0.321,0.984,0.11,0.963,0.115,0.173,-23.63,0.0345,73.914,8,4,Calm
Fleur février,Fleur février,Jacco Wynia,16A82OAjqWawjDM8K5HCdm,2020-02-07,34,253904,0.428,0.985,0.0517,0.945,0.11,0.13,-21.74,0.0548,111.311,3,4,Calm
coeur noir,coeur noir,Leo Nocta,0JsYp2UosjQpePYbHCvXWZ,2020-07-17,34,262280,0.235,0.926,0.233,0.89,0.069,0.1639999999999999,-21.173,0.0712,66.866,11,3,Calm
Fête sous les étoiles,Suite,Biba Dupont,55ux9bDGw3qTVfad3PxSTq,2020-05-01,34,184000,0.312,0.994,0.00811,0.961,0.1,0.0703,-30.381,0.0389,115.486,1,4,Calm
